iter	Passed	Remaining
401	17471	25989
402	17515	25947
403	17561	25907
404	17609	25870
405	17655	25830
406	17697	25785
407	17739	25740
408	17782	25695
409	17823	25648
410	17866	25603
411	17909	25560
412	17958	25525
413	18005	25485
414	18051	25446
415	18095	25403
416	18139	25359
417	18182	25315
418	18225	25272
419	18270	25230
420	18312	25185
421	18355	25141
422	18396	25094
423	18439	25050
424	18484	25008
425	18530	24968
426	18579	24932
427	18626	24893
428	18667	24846
429	18708	24799
430	18753	24757
431	18796	24713
432	18842	24674
433	18891	24637
434	18935	24594
435	18982	24554
436	19026	24512
437	19076	24477
438	19125	24440
439	19173	24402
440	19221	24364
441	19268	24325
442	19315	24285
443	19359	24243
444	19407	24204
445	19454	24165
446	19496	24119
447	19539	24075
448	19581	24029
449	19627	23989
450	19676	23952
451	19723	23913
452	19770	23873
453	19817	23833
454	19860	23789
455	19901	23741
456	19943	23696
457	19986	23651
458	20029	23607
459	20074	23566
460	20127	23533
461	20176	23495
462	20224	23456
463	20274	23420
464	20317	23376
465	20364	23336
466	20414	23299
467	20457	23254
468	20498	23208
469	20540	23162
470	20584	23119
471	20636	23084
472	20691	23053
473	20743	23019
474	20795	22984
475	20844	22946
476	20895	22910
477	20939	22866
478	20981	22821
479	21021	22773
480	21062	22726
481	21105	22682
482	21149	22638
483	21190	22591
484	21233	22547
485	21274	22500
486	21317	22455
487	21360	22411
488	21406	22369
489	21447	22323
490	21495	22283
491	21537	22238
492	21581	22194
493	21628	22154
494	21669	22106
495	21710	22060
496	21755	22017
497	21802	21977
498	21845	21933
499	21890	21890
500	21932	21845
501	21974	21799
502	22026	21763
503	22072	21722
504	22120	21682
505	22162	21637
506	22204	21591
507	22248	21547
508	22294	21506
509	22336	21460
510	22376	21413
511	22422	21371
512	22465	21326
513	22507	21281
514	22549	21236
515	22597	21195
516	22641	21152
517	22689	21112
518	22739	21074
519	22780	21028
520	22821	20981
521	22862	20935
522	22902	20887
523	22946	20844
524	22988	20798
525	23031	20754
526	23072	20707
527	23114	20662
528	23155	20616
529	23198	20572
530	23240	20527
531	23284	20483
532	23324	20436
533	23368	20392
534	23409	20346
535	23449	20299
536	23489	20253
537	23535	20210
538	23577	20165
539	23626	20125
540	23665	20078
541	23715	20039
542	23761	19998
543	23810	19959
544	23851	19912
545	23893	19867
546	23934	19821
547	23978	19777
548	24020	19732
549	24061	19686
550	24104	19642
551	24145	19596
552	24196	19558
553	24243	19517
554	24291	19477
555	24341	19438
556	24384	19393
557	24426	19348
558	24468	19303
559	24511	19259
560	24557	19217
561	24599	19171
562	24641	19126
563	24686	19084
564	24735	19044
565	24787	19006
566	24836	18967
567	24888	18929
568	24932	18885
569	24975	18841
570	25015	18794
571	25058	18749
572	25101	18705
573	25145	18661
574	25182	18612
575	25222	18566
576	25261	18519
577	25303	18474
578	25346	18429
579	25393	18388
580	25440	18347
581	25489	18306
582	25538	18266
583	25585	18225
584	25632	18184
585	25682	18144
586	25726	18100
587	25768	18055
588	25809	18010
589	25851	17964
590	25893	17919
591	25935	17874
592	25981	17832
593	26027	17789
594	26074	17748
595	26121	17706
596	26171	17667
597	26220	17626
598	26267	17584
599	26311	17540
600	26354	17496
601	26397	17452
602	26439	17407
603	26486	17365
604	26527	17319
605	26568	17274
606	26612	17230
607	26650	17182
608	26695	17139
609	26739	17095
610	26783	17051
611	26832	17011
612	26878	16969
613	26926	16927
614	26973	16885
615	27018	16842
616	27067	16802
617	27115	16760
618	27161	16717
619	27202	16672
620	27242	16626
621	27284	16581
622	27325	16535
623	27366	16489
624	27412	16447
625	27459	16405
626	27502	16360
627	27545	16317
628	27591	16274
629	27636	16230
630	27682	16188
631	27724	16143
632	27768	16099
633	27822	16061
634	27871	16020
635	27919	15979
636	27972	15940
637	28019	15898
638	28064	15855
639	28112	15813
640	28158	15770
641	28201	15725
642	28247	15683
643	28297	15642
644	28346	15601
645	28393	15559
646	28441	15517
647	28487	15474
648	28530	15430
649	28576	15387
650	28615	15340
651	28661	15297
652	28706	15254
653	28748	15209
654	28789	15164
655	28835	15120
656	28881	15078
657	28930	15036
658	28977	14994
659	29022	14950
660	29071	14909
661	29117	14866
662	29159	14821
663	29204	14778
664	29254	14737
665	29296	14692
666	29340	14648
667	29385	14604
668	29425	14558
669	29465	14512
670	29511	14470
671	29555	14426
672	29601	14382
673	29647	14340
674	29692	14296
675	29736	14252
676	29778	14207
677	29822	14163
678	29868	14120
679	29912	14076
680	29961	14034
681	30009	13992
682	30063	13953
683	30109	13910
684	30152	13865
685	30196	13821
686	30237	13776
687	30279	13731
688	30316	13684
689	30362	13641
690	30410	13598
691	30453	13554
692	30500	13511
693	30542	13466
694	30592	13425
695	30647	13386
696	30702	13347
697	30752	13305
698	30801	13263
699	30851	13221
700	30898	13179
701	30943	13135
702	30985	13090
703	31030	13046
704	31070	13001
705	31112	12956
706	31161	12914
707	31208	12871
708	31257	12829
709	31308	12787
710	31354	12744
711	31397	12700
712	31440	12655
713	31488	12612
714	31531	12568
715	31576	12524
716	31624	12482
717	31671	12439
718	31717	12395
719	31762	12352
720	31803	12306
721	31845	12261
722	31886	12216
723	31929	12171
724	31969	12126
725	32014	12082
726	32058	12038
727	32098	11992
728	32141	11948
729	32181	11902
730	32226	11858
731	32267	11813
732	32307	11768
733	32348	11723
734	32395	11680
735	32443	11637
736	32493	11595
737	32541	11552
738	32592	11510
739	32645	11469
740	32698	11429
741	32749	11387
742	32797	11344
743	32842	11300
744	32889	11257
745	32938	11215
746	32990	11173
747	33040	11131
748	33084	11086
749	33132	11044
750	33176	10999
751	33226	10957
752	33273	10914
753	33320	10871
754	33363	10826
755	33408	10782
756	33449	10737
757	33491	10692
758	33540	10649
759	33583	10605
760	33624	10560
761	33671	10516
762	33714	10472
763	33762	10429
764	33808	10385
765	33852	10341
766	33896	10297
767	33932	10250
768	33978	10206
769	34027	10164
770	34071	10119
771	34116	10075
772	34162	10032
773	34202	9986
774	34250	9943
775	34304	9902
776	34355	9859
777	34406	9817
778	34454	9774
779	34495	9729
780	34536	9684
781	34576	9638
782	34619	9594
783	34664	9550
784	34713	9507
785	34758	9463
786	34804	9419
787	34851	9376
788	34898	9332
789	34940	9288
790	34991	9245
791	35050	9205
792	35097	9161
793	35141	9117
794	35182	9072
795	35228	9028
796	35268	8983
797	35310	8938
798	35352	8893
799	35398	8849
800	35440	8804
801	35485	8760
802	35531	8716
803	35574	8672
804	35616	8627
805	35660	8583
806	35712	8540
807	35757	8496
808	35800	8452
809	35849	8409
810	35893	8364
811	35941	8321
812	35988	8277
813	36039	8235
814	36084	8190
815	36128	8146
816	36170	8101
817	36219	8058
818	36259	8013
819	36304	7969
820	36348	7924
821	36391	7880
822	36435	7835
823	36476	7791
824	36515	7745
825	36556	7700
826	36597	7655
827	36641	7611
828	36686	7567
829	36730	7523
830	36789	7481
831	36868	7444
832	36944	7406
833	37015	7367
834	37091	7329
835	37160	7289
836	37230	7250
837	37307	7212
838	37375	7172
839	37450	7133
